CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,predicted_clv_6m,predicted_purchases_90d,prob_alive
12346,326,1,77183.6,1,1,5,115,Needs Attention,,,
12347,2,7,4310.0,5,5,5,555,Champions,1784.142050697519,1.4940636052789569,0.9986927779642303
12348,75,4,1797.24,2,4,4,244,At Risk,569.4317864614868,0.9170684113055223,0.9929725516495264
12349,19,1,1757.55,4,1,4,414,New Customers,,,
12350,310,1,334.4,1,1,2,112,Lost,,,
12352,36,8,2506.04,3,5,5,355,Loyal Customers,1295.9110067633453,1.766308663909385,0.9973419765452347
12353,204,1,89.0,1,1,1,111,Lost,,,
12354,232,1,1079.4,1,1,4,114,Needs Attention,,,
12355,214,1,459.4,1,1,2,112,Lost,,,
12356,23,3,2811.43,4,3,5,435,Loyal Customers,445.72022816998583,0.7746971478839086,0.9930755037189137
12357,33,1,6207.67,4,1,5,415,New Customers,,,
12358,2,2,1168.06,5,2,4,524,New Customers,1492.554081738415,0.9274382534302025,0.9533436442544482
12359,58,4,6372.58,3,4,5,345,Loyal Customers,3893.436660074817,0.9769307099391534,0.9940862350531381
12360,52,3,2662.06,3,3,5,335,Loyal Customers,1846.976689142978,1.1030220821536296,0.9884568863641722
12361,287,1,189.9,1,1,1,111,Lost,,,
12362,3,10,5226.23,5,5,5,555,Champions,2572.103278366112,2.474468776658893,0.9991325512627971
12363,110,2,552.0,2,2,3,223,Needs Attention,372.3623247320812,0.6192444371781471,0.8800079042535502
12364,8,4,1313.1,5,4,4,544,Champions,965.4939523204422,2.039336631096112,0.9964303896325194
12365,291,2,641.38,1,2,3,123,Needs Attention,,,
12367,4,1,168.9,5,1,1,511,New Customers,,,
12370,51,4,3545.69,3,4,5,345,Loyal Customers,1224.8384404432495,0.9146117530497475,0.9947302864475359
12371,45,2,1887.96,3,2,4,324,Potential Loyalists,1189.6834969676422,1.397011724081894,0.8925415621791962
12372,72,3,1298.04,3,3,4,334,Loyal Customers,791.7835645926152,0.8287696755168317,0.9882229017457913
12373,311,1,364.6,1,1,2,112,Lost,,,
12374,25,1,742.9300000000001,4,1,3,413,New Customers,,,
12375,11,2,457.5,5,2,2,522,New Customers,635.6994010310666,1.175618432915715,0.9471391307184712
12377,315,2,1628.12,1,2,4,124,Needs Attention,352.4081007882617,0.23848733507951136,0.4530430332025102
12378,130,1,4008.62,2,1,5,215,Needs Attention,,,
12379,82,2,852.24,2,2,3,223,Needs Attention,739.0051755646375,0.7963029684495649,0.8866130274069814
12380,22,4,2724.81,4,4,5,445,Champions,2170.6619228479194,1.4973254072624234,0.9956292583270978
12381,5,5,1845.31,5,4,4,544,Champions,703.6310849600825,2.4030283822027245,0.99769429103259
12383,185,5,1850.56,1,4,4,144,At Risk,692.0310556763794,1.0933648395915796,0.9593830868834123
